br.com.MDSGPP.ChamadaParlamentar.Dao;;;;
RankingDao;;;;
Método;Variável;Tipo;funcionalidade;
adicionarRankingNaTabela;ranking;Ranking;variavel que possui o ranking a ser adicionado no banco de dados;
adicionarRankingNaTabela;sql;String;variavel que contem o comando sql a ser adicionado no banco de dados.;
adicionarRankingNaTabela;stmt;PreparedStatement;variavel que comanda a conexao com o banco de dados.;
adicionarRankingNaTabela;i;int;variavel que comanda o laço for;
retornaRanking;ranking;Ranking;variavel que ira conter o ranking a ser retornado.;
retornaRanking;removidos;ArrayList<Estatistica>;lista que contem os deputados removidos por dados corrompidos.;
retornaRanking;lista;ArrayList<Estatistica>;lista que contem os deputados que possuem dados validos.;
retornaRanking;sql;String;variavel que contem o comando sql a ser adicionado no banco de dados.;
retornaRanking;stmt;PreparedStatement;variavel que ira controlar a conexao com o banco de dados.;
retornaRanking;res;ResultSet;variavel que possui o retorno da consulta no banco de dados.;
retornaRanking;estatistica;Estatistica;variavel que contem a estatistica de cada deputado para colocar no ranking.;
