br.com.MDSGPP.ChamadaParlamentar,,,,
conexaoComWsSessoesEReunioes,,,,
M‚todo,Vari vel,Tipo,funcionalidade,
obterConexao,url,URL,passar o endpoint do Webservice,
obterConexao,service,SessoesReunioesSoapStub,Vari vel que conecta com o Webservice,
receberElementPresenca,sessoes,ListarPresencasParlamentarResponseListarPresencasParlamentarResult,Vari vel que vem com as sessäes do Webservice,
adcionarSessaoNaTable,foi,ArrayList<String>,Vari vel que cont‚m a lista dia das sessäes frequentadas pelos parlamentares,
adcionarSessaoNaTable,lista,ArrayList<Integer>,Vari vel que cont‚m a lista de matricula dos deputados,
adcionarSessaoNaTable,i,int,Vari vel de contagem do for,
adcionarSessaoNaTable,hoje,Calendar,Vari vel que cont‚m a data de hoje,
adcionarSessaoNaTable,dias,NodeList,Vari vel que cont‚m os MessageElements que cont‚m os dias,
adcionarSessaoNaTable,j,int,Vari vel de contagem do for,
adcionarSessaoNaTable,diasTemp,MessageElement,Vari vel temporaria intermediaria do dia entre o WebService e o elemento java,
adcionarSessaoNaTable,descricaoTemp,NodeList ,Vari vel temporaria intermediaria da descri‡Æo entre o WebService e o elemento java,
adcionarSessaoNaTable,presencaTemp,NodeList,Vari vel temporaria intermediaria da presen‡a entre o WebService e o elemento java,
adcionarSessaoNaTable,k,int,Vari vel de contagem do for,
adcionarSessaoNaTable,descricaoText,MessageElement,Vari vel intermediaria da descri‡Æo entre o WebService e o elemento java,
adcionarSessaoNaTable,nomeTemp,NodeList,Vari vel temporaria intermediaria do nome entre o WebService e o elemento java,
adcionarSessaoNaTable,nomeText,MessageElement,Vari vel intermediaria da presen‡a entre o WebService e o elemento java,
adcionarSessaoNaTable,presencaText,MessageElement,Vari vel intermediaria da presen‡a entre o WebService e o elemento java,
adcionarDataNaTable,passar,ArrayList<String> ,Vari vel que cont‚m a lista dos dias das sessoes,
adcionarDataNaTable,sessao,ListarPresencasParlamentarResponseListarPresencasParlamentarResult,Vari vel que vem com as sessäes do Webservice,
adcionarDataNaTable,hoje,Calendar,Vari vel que cont‚m a data de hoje,
adcionarDataNaTable,dias,NodeList,Vari vel que cont‚m os MessageElements que cont‚m os dias,
adcionarDataNaTable,i,int,Vari vel de contagem do for,
adcionarDataNaTable,dataTemp,NodeList,Vari vel temporaria intermediaria da data entre o WebService e o elemento java,
adcionarDataNaTable,descricaoTemp,NodeList,Vari vel temporaria intermediaria da descri‡Æo entre o WebService e o elemento java,
adcionarDataNaTable,dataText,MessageElement,Vari vel intermediario da data entre o WebService e o elemento java,
adcionarDataNaTable,j,int,Vari vel de contagem do for,
adcionarDataNaTable,descricaoText,MessageElement,,
