br.com.MDSGPP.ChamadaParlamentar.control,,,,
RankingControl,,,,
Método,Variável,Tipo,funcionalidade,
atributo,TAMANHO_RANKING,int,constante, controla o tamanho do menor ranking.,
gerarRanking,ranking,Ranking,a variavel que vai conter o ranking.,
gerarRanking,removidos,ArrayList<Estatistica>,lista que contem os deputados que não possuem dados ou possuem dados corrompidos.,
gerarRanking,melhores,ArrayList<Estatistica>,lista que contem o ranking ja ordenado com os melhores deputados.,
gerarRanking,piores,ArrayList<Estatistica>,lista que contem o ranking ja ordenado com os piores deputados.,
gerarRanking,listaOrdenada,ArrayList<Estatistica>,lista que contem o ranking completo ordenado.,
gerarRanking,i,int,variavel controladora do for,
gerarListaEstatistica,devolver,ArrayList<Estatistica>,lista que contem as estatisticas calculadas.,
gerarListaEstatistica,nome,String,nome arrumado para pesquisa no banco.,
gerarListaEstatistica,totalSessao,Integer,numero total de sessões ocorridas na camara.,
gerarListaEstatistica,i,int,a variavel controladora do for.,
passarRankingTop5,rankingDao,RankingDao,variavel de conexao com o banco de dados, tabela ranking,
passarRankingTop5,ranking,Ranking,variavel que contem o ranking completo.,
passarRankingTop5,melhores,ArrayList<Estatistica>,variavel que contem os melhores deputados.,
passarRankingTop5,piores,ArrayList<Estatistica>,variavel que contem os piores deputados.,
passarRankingTop5,i,int,variavel controladora do for,
ordenacao,i,int,variavel de controle do while interno.,
ordenacao,j,int,variavel de controle do while externo.,
ordenacao,primeiro,int,numero que esta na posicao a ser avaliada.,
ordenacao,segundo,int,numero que esta na posicao logo apos a que esta sendo avaliada.,
ordenacao,temp,Estatistica,variavel temporária para calcular a estatistica.,
ordenacao,rankingDao,RankingDao,variavel que controla conexao com o banco de dados, table ranking.,
ordenacao,ranking,Ranking,variavel que possui o ranking a ser passado para frente.,
